"hr","holiday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","instant","mnth","yr"
"0",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1642,47,13748,8,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,33,13749,8,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.83,0.1045,13,13750,8,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.83,0.1045,7,13751,8,1
"4",FALSE,TRUE,"Misty",0.64,0.5909,0.78,0.1343,4,13752,8,1
"5",FALSE,TRUE,"Misty",0.64,0.5909,0.78,0.1343,49,13753,8,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5909,0.78,0.1343,185,13754,8,1
"7",FALSE,TRUE,"Misty",0.64,0.5758,0.83,0.1343,487,13755,8,1
"8",FALSE,TRUE,"Misty",0.66,0.6061,0.78,0.194,681,13756,8,1
"9",FALSE,TRUE,"Misty",0.68,0.6364,0.74,0.0896,350,13757,8,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.0896,236,13758,8,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.0896,234,13759,8,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.1045,284,13760,8,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.52,0.1642,280,13761,8,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1642,263,13762,8,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1642,295,13763,8,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.2836,479,13764,8,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.1642,837,13765,8,1
"18",FALSE,TRUE,"Light Precipitation",0.76,0.7121,0.62,0.2239,891,13766,8,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2537,652,13767,8,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1642,513,13768,8,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,320,13769,8,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1045,288,13770,8,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0,152,13771,8,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0,63,13772,8,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1045,42,13773,8,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,11,13774,8,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,6,13775,8,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,9,13776,8,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.5909,0.89,0.1343,41,13777,8,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,183,13778,8,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0,473,13779,8,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.1045,739,13780,8,1
"9",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1045,343,13781,8,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0,181,13782,8,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1045,226,13783,8,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7576,0.44,0.1343,286,13784,8,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.44,0.2239,310,13785,8,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.41,0.1343,225,13786,8,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.62,0.4627,270,13787,8,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.194,406,13788,8,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.2537,865,13789,8,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7727,0.59,0.2239,767,13790,8,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7879,0.63,0.1642,607,13791,8,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7576,0.66,0,427,13792,8,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.2239,342,13793,8,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.194,262,13794,8,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.2537,177,13795,8,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.194,71,13796,8,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.194,43,13797,8,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.2239,14,13798,8,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.2239,6,13799,8,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.2537,12,13800,8,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1642,37,13801,8,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.2239,163,13802,8,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1045,421,13803,8,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,668,13804,8,1
"9",FALSE,TRUE,"Misty",0.74,0.697,0.66,0.1045,396,13805,8,1
"10",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0.194,249,13806,8,1
"11",FALSE,TRUE,"Misty",0.84,0.7879,0.49,0.2836,263,13807,8,1
"12",FALSE,TRUE,"Misty",0.86,0.8182,0.5,0.2985,338,13808,8,1
"13",FALSE,TRUE,"Misty",0.86,0.803,0.47,0.2836,345,13809,8,1
"14",FALSE,TRUE,"Misty",0.86,0.7879,0.44,0.2537,331,13810,8,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.88,0.8182,0.42,0.2537,380,13811,8,1
"16",FALSE,TRUE,"Misty",0.86,0.7879,0.41,0.2239,492,13812,8,1
"17",FALSE,TRUE,"Misty",0.84,0.803,0.53,0.2836,741,13813,8,1
"18",FALSE,TRUE,"Misty",0.82,0.803,0.59,0.2537,671,13814,8,1
"19",FALSE,TRUE,"Misty",0.8,0.7879,0.63,0.2239,469,13815,8,1
"20",FALSE,TRUE,"Misty",0.78,0.7576,0.66,0.2239,389,13816,8,1
"21",FALSE,TRUE,"Misty",0.76,0.7273,0.66,0.194,278,13817,8,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.7,0.2537,202,13818,8,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.74,0.7121,0.79,0.1343,196,13819,8,1
"0",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7121,0.79,0.1642,161,13820,8,1
"1",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.194,122,13821,8,1
"2",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.1343,84,13822,8,1
"3",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.1343,30,13823,8,1
"4",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.194,13,13824,8,1
"5",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.84,0.2239,17,13825,8,1
"6",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.84,0.2239,49,13826,8,1
"7",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.77,0.1642,67,13827,8,1
"8",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7273,0.72,0.194,181,13828,8,1
"9",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7576,0.65,0.2239,278,13829,8,1
"10",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7727,0.57,0.194,396,13830,8,1
"11",FALSE,FALSE,"Clear to partly cloudy",0.86,0.803,0.47,0.2537,470,13831,8,1
"12",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.4,0.3582,547,13832,8,1
"13",FALSE,FALSE,"Clear to partly cloudy",0.88,0.8182,0.42,0.2985,527,13833,8,1
"14",FALSE,FALSE,"Clear to partly cloudy",0.88,0.803,0.4,0.3881,472,13834,8,1
"15",FALSE,FALSE,"Clear to partly cloudy",0.88,0.8182,0.42,0.4179,489,13835,8,1
"16",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.39,0.2985,450,13836,8,1
"17",FALSE,FALSE,"Clear to partly cloudy",0.88,0.7879,0.37,0.2985,492,13837,8,1
"18",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.41,0.3284,490,13838,8,1
"19",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7727,0.52,0.3582,397,13839,8,1
"20",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7727,0.52,0.2985,312,13840,8,1
"21",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7727,0.59,0.2537,289,13841,8,1
"22",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.66,0.2836,269,13842,8,1
"23",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.66,0.2985,222,13843,8,1
"0",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.7,0.2836,153,13844,8,1
"1",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.7,0.2537,87,13845,8,1
"2",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.7,0.2985,73,13846,8,1
"3",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.74,0.2537,41,13847,8,1
"4",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.74,0.2537,14,13848,8,1
"5",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.74,0.2537,19,13849,8,1
"6",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.2537,19,13850,8,1
"7",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7121,0.74,0.2985,68,13851,8,1
"8",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.66,0.3284,108,13852,8,1
"9",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7727,0.59,0.3582,229,13853,8,1
"10",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7727,0.59,0.4179,364,13854,8,1
"11",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7879,0.56,0.4179,437,13855,8,1
"12",FALSE,FALSE,"Clear to partly cloudy",0.86,0.803,0.47,0.5224,491,13856,8,1
"13",FALSE,FALSE,"Clear to partly cloudy",0.88,0.8182,0.44,0.4627,523,13857,8,1
"14",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8485,0.42,0.4627,526,13858,8,1
"15",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.37,0.5224,450,13859,8,1
"16",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7576,0.46,0.2537,421,13860,8,1
"17",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7576,0.46,0.2537,382,13861,8,1
"18",FALSE,FALSE,"Light Precipitation",0.7,0.6667,0.74,0.1343,229,13862,8,1
"19",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.84,0.2239,185,13863,8,1
"20",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.84,0.1045,193,13864,8,1
"21",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.1045,208,13865,8,1
"22",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.0896,157,13866,8,1
"23",FALSE,FALSE,"Misty",0.72,0.697,0.79,0.1642,87,13867,8,1
"0",FALSE,TRUE,"Misty",0.72,0.697,0.79,0,33,13868,8,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.79,0.0896,11,13869,8,1
"2",FALSE,TRUE,"Misty",0.72,0.697,0.79,0.1343,5,13870,8,1
"3",FALSE,TRUE,"Light Precipitation",0.72,0.697,0.79,0.0896,5,13871,8,1
"4",FALSE,TRUE,"Misty",0.72,0.697,0.74,0.1343,11,13872,8,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.194,25,13873,8,1
"6",FALSE,TRUE,"Misty",0.7,0.6667,0.79,0.2239,141,13874,8,1
"7",FALSE,TRUE,"Light Precipitation",0.72,0.6818,0.7,0.194,407,13875,8,1
"8",FALSE,TRUE,"Misty",0.7,0.6667,0.79,0,605,13876,8,1
"9",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.79,0.1642,276,13877,8,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.2239,213,13878,8,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1343,260,13879,8,1
"12",FALSE,TRUE,"Misty",0.78,0.7273,0.55,0.0896,285,13880,8,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.2239,289,13881,8,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0,287,13882,8,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1343,274,13883,8,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7576,0.41,0.1045,451,13884,8,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7424,0.41,0,858,13885,8,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7424,0.41,0.1343,843,13886,8,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.59,0.194,640,13887,8,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1642,457,13888,8,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.194,317,13889,8,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.0896,207,13890,8,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.194,113,13891,8,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0.194,47,13892,8,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0.1343,18,13893,8,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0.1343,13,13894,8,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,6,13895,8,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.83,0.1343,9,13896,8,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.1045,36,13897,8,1
"6",FALSE,TRUE,"Misty",0.7,0.6667,0.79,0.194,179,13898,8,1
"7",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.1343,502,13899,8,1
"8",FALSE,TRUE,"Misty",0.7,0.6515,0.7,0.1642,705,13900,8,1
"9",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.1343,327,13901,8,1
"10",FALSE,TRUE,"Misty",0.74,0.697,0.7,0.1343,250,13902,8,1
"11",FALSE,TRUE,"Misty",0.76,0.7273,0.66,0.0896,214,13903,8,1
"12",FALSE,TRUE,"Misty",0.8,0.7576,0.55,0.1343,283,13904,8,1
"13",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0.194,253,13905,8,1
"14",FALSE,TRUE,"Misty",0.82,0.7576,0.46,0,261,13906,8,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.52,0,306,13907,8,1
"16",FALSE,TRUE,"Light Precipitation",0.76,0.7273,0.66,0.2836,445,13908,8,1
"17",FALSE,TRUE,"Misty",0.78,0.7424,0.62,0.1343,868,13909,8,1
"18",FALSE,TRUE,"Misty",0.76,0.7121,0.62,0.1642,814,13910,8,1
"19",FALSE,TRUE,"Misty",0.76,0.7273,0.66,0.1045,610,13911,8,1
"20",FALSE,TRUE,"Misty",0.74,0.697,0.7,0.1343,448,13912,8,1
"21",FALSE,TRUE,"Misty",0.72,0.697,0.74,0,317,13913,8,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.1045,224,13914,8,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.79,0,138,13915,8,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,58,13916,8,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.79,0,23,13917,8,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,6,13918,8,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,7,13919,8,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,7,13920,8,1
"5",FALSE,TRUE,"Misty",0.68,0.6364,0.89,0.1642,43,13921,8,1
"6",FALSE,TRUE,"Misty",0.7,0.6667,0.84,0.1642,173,13922,8,1
"7",FALSE,TRUE,"Misty",0.7,0.6667,0.84,0.1642,482,13923,8,1
"8",FALSE,TRUE,"Misty",0.74,0.7273,0.72,0.0896,737,13924,8,1
"9",FALSE,TRUE,"Misty",0.76,0.7273,0.66,0,341,13925,8,1
"10",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0.1343,214,13926,8,1
"11",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0,239,13927,8,1
"12",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0,280,13928,8,1
"13",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0,313,13929,8,1
"14",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0.2537,236,13930,8,1
"15",FALSE,TRUE,"Misty",0.84,0.7576,0.44,0.194,278,13931,8,1
"16",FALSE,TRUE,"Misty",0.8,0.7424,0.49,0.2836,441,13932,8,1
"17",FALSE,TRUE,"Misty",0.8,0.7576,0.55,0.2836,858,13933,8,1
"18",FALSE,TRUE,"Misty",0.78,0.7273,0.55,0.1642,862,13934,8,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.2239,686,13935,8,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.194,500,13936,8,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1045,381,13937,8,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.1045,233,13938,8,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,136,13939,8,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.194,67,13940,8,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.1343,28,13941,8,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0.0896,14,13942,8,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.83,0.0896,6,13943,8,1
"4",FALSE,TRUE,"Misty",0.68,0.6364,0.89,0.1343,10,13944,8,1
"5",FALSE,TRUE,"Misty",0.66,0.5909,0.94,0,41,13945,8,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1642,167,13946,8,1
"7",FALSE,TRUE,"Misty",0.7,0.6667,0.84,0.1642,475,13947,8,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.1045,698,13948,8,1
"9",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1642,353,13949,8,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.2239,205,13950,8,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7576,0.44,0,260,13951,8,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7576,0.44,0.1045,277,13952,8,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.41,0.1045,281,13953,8,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.88,0.7727,0.32,0.2239,247,13954,8,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.88,0.7727,0.32,0.2239,267,13955,8,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7727,0.39,0.2537,417,13956,8,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7576,0.36,0.2537,810,13957,8,1
"18",FALSE,TRUE,"Misty",0.82,0.7576,0.46,0.2537,811,13958,8,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.194,623,13959,8,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.54,0.2836,478,13960,8,1
"21",FALSE,TRUE,"Misty",0.7,0.6515,0.58,0.1642,336,13961,8,1
"22",FALSE,TRUE,"Misty",0.66,0.6212,0.69,0.2239,259,13962,8,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.74,0,156,13963,8,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.65,0.0896,85,13964,8,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.65,0.1045,41,13965,8,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1642,20,13966,8,1
"3",FALSE,TRUE,"Misty",0.72,0.697,0.79,0.194,9,13967,8,1
"4",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.84,0.2836,7,13968,8,1
"5",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.84,0.2836,33,13969,8,1
"6",FALSE,TRUE,"Light Precipitation",0.64,0.5758,0.89,0.2985,44,13970,8,1
"7",FALSE,TRUE,"Light Precipitation",0.64,0.5758,0.89,0.1045,133,13971,8,1
"8",FALSE,TRUE,"Light Precipitation",0.62,0.5455,0.91,0.1642,119,13972,8,1
"9",FALSE,TRUE,"Misty",0.64,0.5758,0.89,0,220,13973,8,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.66,0.5909,0.89,0.1045,193,13974,8,1
"11",FALSE,TRUE,"Light Precipitation",0.68,0.6364,0.79,0.1343,251,13975,8,1
"12",FALSE,TRUE,"Misty",0.74,0.697,0.66,0.3582,315,13976,8,1
"13",FALSE,TRUE,"Misty",0.76,0.7121,0.58,0.3582,290,13977,8,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.3582,307,13978,8,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.52,0.4478,324,13979,8,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7273,0.55,0.2985,467,13980,8,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.52,0.2836,730,13981,8,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.2985,640,13982,8,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.2836,492,13983,8,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2985,370,13984,8,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2537,286,13985,8,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.2836,218,13986,8,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.2836,192,13987,8,1
"0",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.7,0.2836,180,13988,8,1
"1",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.74,0.2239,116,13989,8,1
"2",FALSE,FALSE,"Light Precipitation",0.64,0.5909,0.78,0.194,85,13990,8,1
"3",FALSE,FALSE,"Light Precipitation",0.62,0.5758,0.83,0.1642,21,13991,8,1
"4",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5758,0.83,0.1045,10,13992,8,1
"5",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5606,0.88,0.1045,11,13993,8,1
"6",FALSE,FALSE,"Misty",0.62,0.5606,0.88,0.1045,23,13994,8,1
