"status","age","total_length","wingspan","weight","beak_head","humerus","femur","legbone","skull","sternum"
"Survived","adult",154,241,24.5,31.2,0.69,0.67,1.02,0.59,0.83
"Survived","adult",160,252,26.9,30.8,0.74,0.71,1.18,0.6,0.84
"Survived","adult",155,243,26.9,30.6,0.73,0.7,1.15,0.6,0.85
"Survived","adult",154,245,24.3,31.7,0.74,0.69,1.15,0.58,0.84
"Survived","adult",156,247,24.1,31.5,0.71,0.71,1.13,0.57,0.82
"Survived","adult",161,253,26.5,31.8,0.78,0.74,1.14,0.61,0.89
"Survived","adult",157,251,24.6,31.1,0.74,0.74,1.15,0.61,0.86
"Survived","adult",159,247,24.2,31.4,0.73,0.72,1.13,0.61,0.79
"Survived","adult",158,247,23.6,29.8,0.7,0.67,1.08,0.6,0.82
"Survived","adult",158,252,26.2,32,0.75,0.74,1.15,0.61,0.86
"Survived","adult",160,252,26.2,32,0.74,0.72,1.13,0.62,0.89
"Survived","adult",162,253,24.8,32.3,0.77,0.75,1.13,0.63,0.92
"Survived","adult",161,243,25.4,31.8,0.72,0.72,1.13,0.6,0.89
"Survived","adult",160,250,23.7,29.8,0.73,0.7,1.1,0.59,0.82
"Survived","adult",159,247,25.7,31.4,0.73,0.72,1.14,0.59,0.93
"Survived","adult",158,253,25.7,31.9,0.74,0.7,1.15,0.6,0.86
"Survived","adult",159,247,26.5,31.6,0.73,0.71,1.15,0.61,0.92
"Survived","adult",166,253,26.7,32.5,0.77,0.76,1.23,0.6,0.88
"Survived","adult",159,247,23.9,31.4,0.75,0.72,1.11,0.6,0.82
"Survived","adult",160,248,24.7,31.3,0.75,0.74,1.18,0.6,0.8
"Survived","adult",161,252,28,31.8,0.77,0.73,1.19,0.59,0.88
"Survived","adult",163,251,27.9,31.9,0.77,0.75,1.17,0.62,0.86
"Survived","adult",156,242,25.9,32,0.72,0.71,1.12,0.61,0.89
"Survived","adult",165,251,25.7,32.2,0.75,0.74,1.16,0.61,0.87
"Survived","adult",160,247,26.6,32.4,0.73,0.71,1.11,0.59,0.84
"Survived","adult",158,244,23.2,31.6,0.73,0.71,1.14,0.58,0.89
"Survived","adult",160,242,25.7,31.6,0.71,0.7,1.12,0.62,0.79
"Survived","adult",157,245,26.3,32.2,0.74,0.73,1.14,0.6,0.85
"Survived","adult",159,244,24.3,31.5,0.72,0.7,1.11,0.62,0.85
"Survived","adult",160,253,26.7,32.1,0.74,0.71,1.12,0.59,0.86
"Survived","adult",158,245,24.9,31.4,0.73,0.7,1.12,0.58,0.85
"Survived","adult",161,247,23.8,31.4,0.74,0.69,1.1,0.6,0.78
"Survived","adult",160,247,25.6,32.3,0.76,0.75,1.13,0.61,0.9
"Survived","adult",160,247,27,32,0.75,0.74,1.17,0.63,0.87
"Survived","adult",153,241,24.7,32.2,0.73,0.68,1.09,0.59,0.88
"Perished","adult",165,249,26.5,31,0.74,0.7,1.1,0.61,0.85
"Perished","adult",160,245,26.1,32,0.74,0.71,1.11,0.61,0.84
"Perished","adult",161,249,25.6,32.3,0.74,0.72,1.13,0.6,0.83
"Perished","adult",162,246,25.9,32.3,0.74,0.71,1.13,0.61,0.87
"Perished","adult",163,250,25.5,32.5,0.75,0.73,1.2,0.62,0.89
"Perished","adult",162,247,27.6,31.8,0.73,0.72,1.11,0.6,0.87
"Perished","adult",163,246,25.8,31.4,0.69,0.66,1.07,0.6,0.84
"Perished","adult",161,246,24.9,30.5,0.74,0.73,1.14,0.58,0.8
"Perished","adult",160,242,26,31,0.75,0.71,1.11,0.6,0.8
"Perished","adult",162,246,26.5,31.5,0.72,0.7,1.09,0.61,0.81
"Perished","adult",160,249,26,31.4,0.73,0.69,1.1,0.6,0.85
"Perished","adult",161,250,27.1,31.6,0.74,0.71,1.12,0.63,0.85
"Perished","adult",162,248,25.1,31.9,0.74,0.72,1.15,0.59,0.84
"Perished","adult",165,252,26,32.3,0.73,0.71,1.14,0.61,0.89
"Perished","adult",161,243,25.6,32.5,0.71,0.71,1.12,0.61,0.83
"Perished","adult",161,244,25,31.3,0.7,0.69,1.08,0.6,0.87
"Perished","adult",162,248,24.6,31,0.71,0.7,1.09,0.59,0.84
"Perished","adult",164,244,25,31.2,0.7,0.69,1.07,0.61,0.8
"Perished","adult",158,247,26,32,0.73,0.71,1.14,0.61,0.8
"Perished","adult",162,253,28.3,31.8,0.75,0.72,1.15,0.6,0.86
"Perished","adult",156,239,24.6,30.5,0.66,0.66,1.04,0.57,0.81
"Perished","adult",166,251,27.5,31.5,0.72,0.69,1.12,0.61,0.85
"Perished","adult",165,253,31,32.4,0.76,0.75,1.18,0.61,0.9
"Perished","adult",166,250,28.3,32.4,0.75,0.72,1.18,0.61,0.92
"Survived","juvenile",156,246,24.6,32,0.74,0.74,1.17,0.59,0.85
"Survived","juvenile",156,245,25.5,32.1,0.76,0.72,1.15,0.62,0.82
"Survived","juvenile",163,248,24.8,32.2,0.74,0.73,1.16,0.61,0.85
"Survived","juvenile",163,248,26.3,33,0.74,0.7,1.15,0.61,0.84
"Survived","juvenile",160,250,24.4,31.5,0.75,0.71,1.17,0.6,0.89
"Survived","juvenile",156,237,23.3,30.6,0.69,0.66,1.01,0.59,0.77
"Survived","juvenile",162,253,26.7,32,0.76,0.73,1.2,0.63,0.88
"Survived","juvenile",163,254,26.4,32,0.77,0.75,1.16,0.61,0.89
"Survived","juvenile",164,251,26.9,32,0.75,0.74,1.17,0.62,0.89
"Survived","juvenile",163,244,24.3,31.3,0.72,0.68,1.08,0.61,0.89
"Survived","juvenile",160,247,27,31.5,0.76,0.73,1.18,0.62,0.85
"Survived","juvenile",160,250,26.8,32.5,0.76,0.73,1.12,0.63,0.84
"Survived","juvenile",158,247,24.9,32.4,0.75,0.72,1.14,0.59,0.87
"Survived","juvenile",158,249,26.1,32.2,0.74,0.74,1.15,0.6,0.82
"Survived","juvenile",158,243,26.6,32.4,0.75,0.71,1.16,0.61,0.89
"Survived","juvenile",155,237,23.3,30.2,0.69,0.65,1.01,0.59,0.79
"Perished","juvenile",160,249,24,30.4,0.74,0.72,1.13,0.62,0.84
"Perished","juvenile",156,236,26.8,30.2,0.69,0.67,1.07,0.56,0.83
"Perished","juvenile",158,240,23.5,31,0.71,0.7,1.11,0.6,0.81
"Perished","juvenile",166,245,26.9,31.7,0.71,0.69,1.11,0.6,0.85
"Perished","juvenile",165,255,28.6,31.5,0.77,0.74,1.17,0.61,0.85
"Perished","juvenile",157,238,24.7,31.2,0.68,0.68,1.16,0.6,0.77
"Perished","juvenile",164,250,27.3,31.8,0.76,0.73,1.17,0.59,0.86
"Perished","juvenile",166,256,25.7,31.7,0.75,0.75,1.19,0.6,0.86
"Perished","juvenile",167,255,29,32.2,0.76,0.75,1.2,0.64,0.86
"Perished","juvenile",161,246,25,31.5,0.74,0.71,1.12,0.59,0.85
"Perished","juvenile",166,254,27.5,31.4,0.76,0.74,1.12,0.6,0.91
"Perished","juvenile",161,251,26,31.5,0.73,0.71,1.12,0.59,0.83
