Session,Sex,Class,Weight
2,male,adult,13
1,M,ad/j,8.5
1,F,adult,11.5
1,M,adult,10.3
2,M,ad,13.5
2,F,ad/j,8.5
1,F,ad,17
1,F,ad,12.3
2,F,ad,12.1
1,m,ad,13.5
2,m,ad,13.6
1,m,j,9
1,female,ad,12
2,F,ad,12.2
2,F,ad,16
2,m,j,9.2
2,m,ad,11.9
1,F,ad,15.5
2,F,ad,18.2
1,M,j,11
2,M,j,10
1,F,ad,12
1,M,ad,11.5
2,X,ad,10.5
2,F,j,10.5
1,M,ad,14
2,M,ad,14.2
1,F,ad,18.2
1,F,ad,12
2,F,ad,11.5
1,F,ad,11.8
1,F,ad,15.3
2,F,ad,14.5
1,M,j,11.5
2,M,j,10.5
1,M,ad,12.8
2,M,ad,13
1,X,ad,10.2
2,X,ad,9.5
1,M,ad,13
2,M,ad,12.5
1,M,ad,13
2,M,ad,11
2,M,ad,12.5
1,F,ad/j,8.5
1,M,ad/j,10.5
2,M,ad/j,10
1,M,ad/j,10.5
1,F,ad,11.5
2,F,ad,11
2,F,ad,12
2,M,ad/j,11.5
2,M,ad,14
2,F,ad,13.5
1,F,ad/j,8.7
1,M,ad/j,10
2,M,ad/j,9.5
2,M,ad/j,10.5
2,F,ad,10.5
2,M,ad/j,11
1,M,ad,11.5
2,M,j,8
2,M,ad/j,10
2,F,ad/j,10
2,F,ad,14
1,X,ad,12.5
2,X,ad,12
1,F,ad/j,9.5
1,F,ad/j,12
2,F,ad/j,12
1,M,ad,12
1,f,ad/j,9
1,f,ad/j,10.5
1,f,ad,15
2,F,ad,14.5
2,M,ad/j,9
2,F,ad/j,10
1,M,ad,15
2,F,ad,17.5
2,M,ad,16
2,F,ad/j,10.5
1,M,ad/j,13
1,F,ad,12.3
2,F,ad,12
1,F,ad,15
1,M,ad/j,10.9
1,F,j,7.6
1,M,ad/j,10.9
2,M,ad/j,11.9
1,M,ad,14
2,M,j,8
2,F,j,7.5
1,F,ad,18.5
2,F,ad,18
1,M,ad,12.5
2,M,ad,13.5
2,M,ad,13
1,F,ad,11.8
2,F,ad,11.8
2,F,ad,10.2
1,F,ad/j,10
1,F,ad/j,10.9
2,M,ad/j,11.7
1,F,j,7.9
1,M,j,8.3
1,M,ad,12.3
1,M,j,8.5
2,M,ad,12
2,F,j,7
2,M,ad,13.5
1,F,ad,19.5
2,M,ad,13.9
2,M,ad,13.5
2,M,ad/j,10.5
1,F,ad,21
1,F,ad,15.5
2,F,ad,15
2,M,ad/j,10.8
1,F,ad,14
1,M,ad/j,10
1,M,ad/j,11.5
2,F,ad/j,11
1,F,ad,15.5
2,F,ad,15
2,M,ad,12
1,M,ad/j,12
2,M,ad/j,12.5
1,F,ad,14.8
2,F,ad,20
1,M,ad,13.5
1,M,ad/j,9.5
2,M,ad/j,9.1
2,F,j,8.5
2,F,ad/j,9.9
2,F,ad/j,9.5
2,M,ad/j,10
1,F,ad,17.8
2,F,ad,16.5
1,F,ad,15
2,F,ad,15.5
1,M,ad,11.5
2,M,ad,13
1,F,ad,13.8
1,M,ad/j,9.9
1,F,ad/j,10.4
2,F,ad/j,9.5
1,F,ad/j,9.9
1,F,j,9.2
2,M,ad/j,10.6
1,F,ad,15
1,F,ad,14.2
0,F,j,8.5
2,F,ad,17.4
1,F,j,7.5
2,F,ad,NA
1,M,ad/j,9.5
1,F,ad,11
2,F,ad/j,8
2,M,ad/j,8.5
1,M,ad,13.5
1,F,ad,12
1,F,ad,12.5
2,F,ad,12.5
1,M,j,6.3
1,F,j,6.2
1,F,j,6.5
1,F,j,7
1,F,ad/j,11.5
1,M,ad/j,10.5
1,F,ad,14
1,F,ad,10.6
2,M,ad,15.2
1,M,ad,14.3
1,F,ad,13
2,F,j,6.8
2,F,ad/j,13
2,F,ad,NA
1,F,ad/j,10
2,M,ad/j,12.9
2,F,ad,NA
1,F,ad,15
2,M,ad,10
2,M,ad,10.2
2,M,j,10.5
1,F,j,8
2,F,j,8.5
1,M,j,11
2,M,ad/j,12
2,F,j,9.5
1,F,j,9.5
1,F,j,9.2
2,F,j,10
1,M,ad,11.5
2,F,ad,11.5
2,F,ad,11.6
1,M,ad,11
2,M,ad,11
2,F,ad,12.1
1,F,ad,9.3
1,F,ad,10.8
1,F,ad,16.5
2,F,ad,17.7
2,F,ad,16.5
1,F,ad,12.2
2,F,ad,12
1,F,ad,16.7
2,F,ad,16.5
2,F,ad,14
1,M,ad,15.6
2,M,ad,14.7
1,F,ad,17.4
2,F,ad,14.5
2,F,ad,18.2
1,F,ad,13.2
1,M,ad,15.5
1,F,ad,16.5
1,F,ad,16.3
2,F,ad,16
1,M,ad,16.3
2,M,j,9.5
2,M,j,10.3
1,F,ad,16.6
2,F,ad,16
1,M,ad,15
2,M,ad,14
1,M,j,10
2,F,ad,14.2
1,M,ad,12.9
2,M,ad,13.1
1,M,ad,12.2
2,M,ad,13
1,F,j,9
1,M,ad,12.8
1,M,ad,12
2,M,ad,12
2,F,ad,14.3
2,M,ad,12.5
1,F,ad,15.5
1,F,ad,15.1
2,F,ad/j,10.2
1,M,j,8.6
1,F,ad,12
2,M,ad,12.6
1,F,ad,13.5
2,F,ad,13
1,M,ad,13.5
1,M,ad,13.6
2,M,ad,13.5
1,M,j,9.9
2,M,j,11
2,M,j,11
2,M,j,10.5
2,M,ad/j,10.5
0,M,j,9.3
2,M,j,9.5
1,M,ad/j,9.8
2,F,j,7.4
2,F,ad,14.6
1,M,j,9
2,M,j,8
1,F,ad,13.5
2,F,ad,15
1,M,j,7.5
2,M,j,7.5
1,F,ad,17.5
1,M,ad/j,12
1,M,ad/j,10.5
1,M,ad/j,10
1,M,ad/j,10
2,M,ad/j,9.5
1,F,ad/j,9.5
2,F,ad/j,13
1,M,j,7
2,M,j,7
1,F,ad,14.5
2,M,ad,14.8
2,M,ad,15.5
2,F,ad,13.6
2,M,j,8.4
2,M,j,NA
1,F,ad,15.9
2,F,ad,15.7
2,M,ad,17.5
1,F,ad,17.2
1,M,ad,12.5
2,F,ad,17.6
2,F,ad,14.7
1,M,ad,12.5
2,M,ad,11.7
2,M,j,9.9
1,M,j,9.5
1,M,j,9.9
1,F,ad,23
1,M,j,10.5
1,F,ad,14.9
1,F,ad,13.5
2,M,ad,12.4
2,F,ad,12.5
2,F,ad/j,10.2
1,F,ad,15.6
2,M,j,12.6
1,F,ad,12.1
2,F,ad,15
1,M,j,10.8
1,M,ad,14.2
1,F,ad,12.7
2,F,ad,13
2,M,ad,13.6
2,F,ad,12
1,M,j,9.5
2,M,j,10.3
1,F,ad,11.5
2,F,ad,14.5
1,M,ad/j,10.5
1,F,ad,11
2,F,ad,10.5
1,F,ad,12
2,F,ad,11.5
1,M,j,9.9
2,M,j,9.5
1,F,ad,16.8
1,M,j,8
2,M,j,7.8
1,M,j,7.2
1,F,ad,14.5
2,F,ad,15
1,M,ad,11
2,M,ad,11
1,F,ad,14
1,F,ad,11.5
2,F,ad,11.5
2,F,ad,14
1,M,ad,11.5
2,M,ad,11.3
2,M,ad,11.5
1,F,ad,12.5
1,M,ad,10.5
1,F,ad,14.5
1,M,ad,11
1,M,ad,11
2,M,ad,11
1,F,ad,15
1,M,j,4.8
2,M,ad/j,9
2,F,ad/j,13.8
2,F,ad,14.5
1,X,ad,17.5
1,M,NA,11
1,F,ad/j,12.1
1,M,ad/j,11.6
2,M,ad/j,12
2,M,ad/j,8.5
1,F,ad,14.9
2,F,ad,14.5
1,M,ad/j,11.2
1,F,ad/j,12.5
2,F,ad/j,13.9
2,M,ad/j,11.9
2,F,ad/j,11.5
2,M,ad/j,9.9
1,M,ad/j,10.5
2,M,ad,11
1,F,ad,16.5
2,F,ad,17
2,M,ad,12.5
2,M,ad/j,10.2
1,M,j,8.4
1,F,ad/j,10.1
2,M,ad/j,10.5
1,M,ad,13.8
2,M,ad,13.9
1,F,ad,13.5
2,M,j,8.2
2,M,ad,12.4
2,F,ad,12.5
1,F,ad,14.2
1,F,ad,13.2
2,F,ad,14
1,M,ad,15
2,M,ad,14
1,M,j,8
1,F,ad,16
2,F,ad,14.5
1,M,j,8.5
2,M,j,7.6
1,F,ad,14
2,M,ad,13
1,M,ad/j,9.5
2,F,ad,15
1,M,ad,13.5
1,F,j,9.9
1,F,j,10
1,M,ad,13
2,F,ad,11.5
2,F,ad,20
1,F,ad,20.5
2,F,ad,20.5
1,M,ad,13.5
1,F,ad,16.5
1,F,ad,22.5
1,M,j,9
1,F,ad,17.5
1,F,j,10
1,M,j,9.9
2,M,ad,12.5
2,M,ad,12
1,F,ad,12
2,F,ad,12
1,F,ad/j,11
1,F,ad,14.5
2,F,ad,14.5
1,M,ad,12
1,M,ad,13
1,F,ad,12.5
2,F,ad,12.6
2,F,ad,14.7
1,M,ad/j,10.5
2,M,ad/j,10.5
1,F,ad/j,9.4
2,M,ad,13.5
1,F,ad,12
2,F,ad,13.3
1,F,ad,16.2
2,F,ad,16.5
1,F,ad,16
1,M,ad,10.9
2,F,j,7
2,F,ad/j,11.3
1,M,ad,12.3
2,M,ad,11
1,F,ad/j,9.9
1,F,ad,12.5
2,F,ad,12
2,F,ad,14.1
2,F,ad/j,11.4
2,F,ad/j,9.5
2,F,ad,11
2,F,ad/j,9
2,F,ad,9.5
2,F,ad,12
2,F,ad,11.5
2,F,ad,10
2,M,ad,12.1
2,F,ad,12
2,F,j,8.4
2,F,ad,12.5
2,M,ad,13.1
2,M,ad,11.5
1,F,ad/j,11
2,F,ad/j,10
1,F,ad,12.7
2,F,ad,11.5
1,F,ad/j,8
2,F,ad,11.5
1,M,ad,13.6
1,F,j,7.5
2,F,j,6.6
2,M,ad,11.2
1,F,ad/j,10.4
2,F,ad,10
1,F,ad,13
2,F,ad,14
1,F,ad,12.2
2,M,ad,12.5
1,M,ad,13.2
1,F,j,5.1
1,F,ad,11
2,F,ad,11
2,F,ad,14.6
1,F,ad,13.2
2,F,ad,14
1,F,ad,9.5
2,M,ad,12.5
1,M,ad,13.5
2,M,ad,14
1,F,ad,12.5
2,F,ad,12.2
1,F,ad,11.5
2,F,ad,11.1
2,F,ad,12.9
1,M,ad,12.9
1,M,j,7.1
2,M,ad,11.4
1,F,ad,13.5
2,F,ad,13
2,M,ad,12.5
1,M,ad,14
2,M,ad,13.5
1,M,j,8.5
2,M,ad,10
1,F,ad,13.9
2,F,ad,13.5
2,F,ad,12.6
2,F,ad,15
1,M,ad,11.4
1,M,ad,13.5
2,M,ad,13.5
2,M,ad,9.9
1,F,ad,17
2,F,ad,17
1,F,ad,14
2,F,ad,13.6
1,M,ad,13.5
2,M,ad,12.9
1,M,ad,9.9
2,M,ad,9.4
2,F,ad,17
1,F,ad,12.5
1,F,ad,17.5
2,F,ad,17.5
1,M,ad,14.5
2,M,ad,14.5
2,M,ad,13.3
2,F,ad,13.5
1,F,ad,12.8
1,M,ad,12.8
1,M,ad,10.5
2,M,ad,10
1,M,ad,13
1,M,ad,13.5
1,M,ad/j,10.5
1,M,ad,12.4
1,M,ad,14.2
2,M,ad,13.5
1,M,ad,14
1,M,ad,11.5
2,M,ad,11
1,M,ad,10
1,M,ad,9.4
2,F,ad,19
1,M,ad,11
2,M,ad,11.5
1,M,ad/j,9.5
2,F,ad/j,11
1,F,ad,18.5
1,F,ad,14.5
1,M,j,9.5
1,M,ad,12
2,M,ad,11
2,M,ad,9.8
1,M,ad,12
2,M,ad,11.5
1,M,ad/j,11
1,M,ad,12
2,M,ad,11
1,M,ad,11.4
1,M,ad,11
2,M,ad,13.5
1,M,ad,12.5
2,M,ad,12.5
2,F,ad,11.5
1,M,ad,10.6
2,M,ad,11
2,F,j,8.5
1,F,j,9.9
1,M,ad,11.3
1,F,ad/j,11
1,M,ad,11.2
1,F,ad,11.8
1,M,ad,13.5
2,M,ad,13
2,F,ad/j,11
1,F,ad,13
1,M,ad,14
1,M,ad,14
2,M,j,8.5
2,F,j,10
1,M,ad,14
1,F,ad,16.5
1,M,ad,12
2,F,ad/j,11.8
1,M,ad,12.5
1,F,ad,12.5
1,M,ad,12.5
1,F,j,8
1,F,ad,15
1,F,ad,13.5
1,F,ad,13.5
1,F,ad,15.8
1,M,ad,12
2,M,j,8.5
1,M,ad/j,9
1,F,ad,14.2
1,F,ad,11.5
1,F,ad,15
1,F,ad,12
1,F,ad,14.5
1,M,ad,13.5
1,F,ad,NA
2,F,ad,NA
1,M,ad,NA
2,M,ad,NA
1,F,J,8.25
1,F,J,7
1,F,ad,13.7
2,F,ad,NA
1,M,ad,12.5
2,F,ad,14
2,F,j,7.5
2,F,ad,13.5
2,M,ad,13
2,M,NA,NA
2,F,ad,14
2,M,ad,12
2,M,j,7
1,F,ad,14
1,M,ad,12.4
2,F,ad,16.5
1,F,ad,15.9
2,M,j,9.5
1,F,j,7.9
2,M,j,10.5
1,M,j,10.8
2,M,j,10.5
1,M,ad,14.5
1,M,ad,10
2,M,ad,11
1,F,j,11.3
1,M,ad,11
2,M,ad,11
1,F,j,11.5
1,M,ad,11.4
2,M,ad,11.5
1,M,ad,11.2
2,M,ad,10.8
1,M,ad,11.2
2,M,ad,11.5
2,M,ad,10.5
2,F,ad,14
1,M,ad,12
2,M,ad,12.5
2,M,ad,12
1,M,ad,9.8
1,F,ad,19.5
1,M,ad,11.5
1,M,ad,11.4
1,F,ad,14.5
2,F,ad,13.9
1,M,j,7.5
1,F,ad,19
1,M,ad/j,10.6
2,F,ad,14
1,F,ad,19.5
1,M,ad/j,10
2,F,ad,13.6
1,F,ad,15
1,M,j,8.8
2,M,j,8.8
1,M,ad,14.6
2,M,ad,12
2,M,ad/j,9.5
2,F,ad,14.8
1,F,ad,13.3
2,F,ad,13.2
1,F,Ad,15
2,F,ad,15.9
2,M,j,9
1,M,ad,14
1,M,ad,10
1,F,ad,14
1,F,ad,15.2
2,F,ad,15
2,F,ad,17
1,M,ad,14.9
2,M,ad,14
1,M,ad,12.5
1,M,ad,10.5
2,M,ad,11
1,M,ad,14
1,M,ad,15
1,F,ad,13.7
2,F,ad,13.5
1,F,ad,14.3
2,F,ad,14
1,M,ad,14
2,M,ad,13.4
2,M,ad,11.5
1,M,j,9.5
2,M,j,10.4
2,M,ad,12
1,F,ad,11.4
1,F,ad,14.5
2,F,ad,15.5
1,F,ad,15
1,M,ad,14
1,M,ad,10.5
2,M,ad,13
2,M,j,10.5
1,M,ad,12
1,F,ad,NA
1,M,ad/j,10
2,M,ad/j,10
2,F,j,9.5
2,F,ad,18.2
1,M,ad,12.9
2,M,ad,11.5
1,F,ad,11.3
2,F,ad,11
1,M,ad,10.9
1,F,ad/j,11.2
2,F,ad/j,11.4
1,F,ad/j,13.2
1,M,ad,10
2,M,ad/j,10.7
1,F,j,8.5
2,F,j,9.9
2,M,ad/j,11.1
1,M,ad,11.5
2,M,ad,11.2
1,F,ad,12
2,F,ad,12
1,M,ad,12
2,F,ad/j,10.6
1,F,j,9
2,F,ad,16.2
1,M,ad,13.5
2,M,ad,11.5
1,M,ad,11
2,M,ad,10.8
2,M,ad,10.8
1,F,ad/j,10
1,F,ad,15.5
2,F,ad,15
2,M,ad,10.5
2,F,ad,14.5
1,F,ad,15.6
1,F,ad,12
2,F,ad,13.9
2,F,ad,11
1,M,ad,13.2
2,M,ad,12.8
1,F,ad,14.2
1,F,ad,15.1
1,F,ad,11
1,F,ad/j,9.9
2,M,ad/j,10
1,F,ad,13.9
1,M,ad,13.8
2,F,j,6.5
2,F,j,7.5
1,M,j,7
1,M,j,7.5
1,M,j,7
2,M,j,7.1
1,M,j,8.5
1,M,j,8.3
2,M,j,7
2,M,j,7.5
1,F,ad,16.3
1,M,Ad,13.2
1,F,ad,18
1,M,ad,11.2
2,M,ad,11
2,M,ad,11.5
1,F,ad,13
2,F,ad,13
1,M,ad,14.5
1,F,ad,16.5
2,F,ad,15.5
1,F,ad,15.3
2,F,ad,14.9
1,M,ad/j,10.4
1,F,ad/j,10
1,F,ad,11.5
2,F,ad,NA
2,F,j,6
1,M,j,6.5
2,M,j,7
2,F,j,5.5
2,F,j,7
1,F,j,9.4
2,F,j,10.5
1,F,ad,16.5
1,F,ad,11.5
1,F,ad,11.3
2,F,ad,11.5
1,F,ad,12.5
1,F,ad,13.5
2,M,j,6.5
1,F,ad,15.4
2,M,ad,10.3
2,M,ad,12.5
1,M,ad,12
1,M,ad,13
2,M,ad,NA
2,M,ad,15
1,M,ad,14.5
1,M,ad,13.5
1,M,ad,10.6
2,M,ad,10.1
2,M,Ad,10
1,M,ad,10.5
1,M,ad,10
1,M,ad,12
1,M,ad,11.3
1,F,j,6.3
2,M,j,7
2,F,ad,14
2,M,j,NA
2,F,j,7
2,F,ad,13.1
2,M,j,8
1,F,ad,13.2
2,F,ad,13.4
1,F,j,7
2,F,j,7.5
1,F,ad,19
1,M,ad,13.5
2,F,ad/j,9.3
1,F,ad/j,11
2,M,ad,11v
